"eval/time","data/GRPO-s25-p8-n128-m32-ga4 - _step","data/GRPO-s25-p8-n128-m32-ga4 - _step__MIN","data/GRPO-s25-p8-n128-m32-ga4 - _step__MAX","data/GRPO-s25-p8-n128-m32-ga4 - eval/completions/mean_length","data/GRPO-s25-p8-n128-m32-ga4 - eval/completions/mean_length__MIN","data/GRPO-s25-p8-n128-m32-ga4 - eval/completions/mean_length__MAX","data/GRPO-s25-p8-n32-m32-ga16 - _step","data/GRPO-s25-p8-n32-m32-ga16 - _step__MIN","data/GRPO-s25-p8-n32-m32-ga16 - _step__MAX","data/GRPO-s25-p8-n32-m32-ga16 - eval/completions/mean_length","data/GRPO-s25-p8-n32-m32-ga16 - eval/completions/mean_length__MIN","data/GRPO-s25-p8-n32-m32-ga16 - eval/completions/mean_length__MAX","data/GRPO-s24-p8-n32-m32-ga16 - _step","data/GRPO-s24-p8-n32-m32-ga16 - _step__MIN","data/GRPO-s24-p8-n32-m32-ga16 - _step__MAX","data/GRPO-s24-p8-n32-m32-ga16 - eval/completions/mean_length","data/GRPO-s24-p8-n32-m32-ga16 - eval/completions/mean_length__MIN","data/GRPO-s24-p8-n32-m32-ga16 - eval/completions/mean_length__MAX","data/GRPO-s23-p8-n128-m32-ga4 - _step","data/GRPO-s23-p8-n128-m32-ga4 - _step__MIN","data/GRPO-s23-p8-n128-m32-ga4 - _step__MAX","data/GRPO-s23-p8-n128-m32-ga4 - eval/completions/mean_length","data/GRPO-s23-p8-n128-m32-ga4 - eval/completions/mean_length__MIN","data/GRPO-s23-p8-n128-m32-ga4 - eval/completions/mean_length__MAX","data/GRPO-s23-p8-n32-m32-ga16 - _step","data/GRPO-s23-p8-n32-m32-ga16 - _step__MIN","data/GRPO-s23-p8-n32-m32-ga16 - _step__MAX","data/GRPO-s23-p8-n32-m32-ga16 - eval/completions/mean_length","data/GRPO-s23-p8-n32-m32-ga16 - eval/completions/mean_length__MIN","data/GRPO-s23-p8-n32-m32-ga16 - eval/completions/mean_length__MAX","data/GRPO-s22-p8-n128-m32-ga4 - _step","data/GRPO-s22-p8-n128-m32-ga4 - _step__MIN","data/GRPO-s22-p8-n128-m32-ga4 - _step__MAX","data/GRPO-s22-p8-n128-m32-ga4 - eval/completions/mean_length","data/GRPO-s22-p8-n128-m32-ga4 - eval/completions/mean_length__MIN","data/GRPO-s22-p8-n128-m32-ga4 - eval/completions/mean_length__MAX","data/GRPO-s22-p8-n32-m32-ga16 - _step","data/GRPO-s22-p8-n32-m32-ga16 - _step__MIN","data/GRPO-s22-p8-n32-m32-ga16 - _step__MAX","data/GRPO-s22-p8-n32-m32-ga16 - eval/completions/mean_length","data/GRPO-s22-p8-n32-m32-ga16 - eval/completions/mean_length__MIN","data/GRPO-s22-p8-n32-m32-ga16 - eval/completions/mean_length__MAX","data/GRPO-s21-p8-n128-m32-ga4 - _step","data/GRPO-s21-p8-n128-m32-ga4 - _step__MIN","data/GRPO-s21-p8-n128-m32-ga4 - _step__MAX","data/GRPO-s21-p8-n128-m32-ga4 - eval/completions/mean_length","data/GRPO-s21-p8-n128-m32-ga4 - eval/completions/mean_length__MIN","data/GRPO-s21-p8-n128-m32-ga4 - eval/completions/mean_length__MAX","data/GRPO-s21-p8-n32-m32-ga16 - _step","data/GRPO-s21-p8-n32-m32-ga16 - _step__MIN","data/GRPO-s21-p8-n32-m32-ga16 - _step__MAX","data/GRPO-s21-p8-n32-m32-ga16 - eval/completions/mean_length","data/GRPO-s21-p8-n32-m32-ga16 - eval/completions/mean_length__MIN","data/GRPO-s21-p8-n32-m32-ga16 - eval/completions/mean_length__MAX","data/GRPO-s12-p8-n128-m32-ga4 - _step","data/GRPO-s12-p8-n128-m32-ga4 - _step__MIN","data/GRPO-s12-p8-n128-m32-ga4 - _step__MAX","data/GRPO-s12-p8-n128-m32-ga4 - eval/completions/mean_length","data/GRPO-s12-p8-n128-m32-ga4 - eval/completions/mean_length__MIN","data/GRPO-s12-p8-n128-m32-ga4 - eval/completions/mean_length__MAX"
"252.40819634700165","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172","172","172","310.1326904296875","310.1326904296875","310.1326904296875","","","","","","","","","","","","","","","","","",""
"252.58025805599755","","","","","","","","","","","","","","","","","","","98","98","98","250.2213897705078","250.2213897705078","250.2213897705078","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"261.33869995599525","","","","","","","","","","","","","172","172","172","325.7528381347656","325.7528381347656","325.7528381347656","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"268.1787970249934","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98","98","98","355.200927734375","355.200927734375","355.200927734375","","","","","","","","","","","",""
"268.43834244900063","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98","98","98","305.424560546875","305.424560546875","305.424560546875"
"269.6704882970007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98","98","98","331.4351806640625","331.4351806640625","331.4351806640625","","","","","","","","","","","","","","","","","","","","","","","",""
"270.15244192500177","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","225","225","225","343.6156311035156","343.6156311035156","343.6156311035156","","","","","",""
"279.3121801489906","98","98","98","316.84002685546875","316.84002685546875","316.84002685546875","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292.4890731950072","","","","","","","225","225","225","319.1660461425781","319.1660461425781","319.1660461425781","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"362.1668761260007","","","","","","","283","283","283","324.77105712890625","324.77105712890625","324.77105712890625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"371.5680837780019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137","137","137","323.0970458984375","323.0970458984375","323.0970458984375","","","","","","","","","","","","","","","","","","","","","","","",""
"380.03185572899383","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","283","283","283","280.44805908203125","280.44805908203125","280.44805908203125","","","","","","","","","","","","","","","","","",""
"382.0998469559854","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137","137","137","419.8642883300781","419.8642883300781","419.8642883300781","","","","","","","","","","","",""
"382.7554098909968","","","","","","","","","","","","","","","","","","","","","","","","","283","283","283","311.3229675292969","311.3229675292969","311.3229675292969","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"395.94110424399696","","","","","","","","","","","","","","","","","","","154","154","154","323.38970947265625","323.38970947265625","323.38970947265625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"413.50535164100074","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","154","154","154","373.7521057128906","373.7521057128906","373.7521057128906"
"415.7442284629942","154","154","154","385.71343994140625","385.71343994140625","385.71343994140625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"416.13694507299806","","","","","","","","","","","","","283","283","283","313.3442077636719","313.3442077636719","313.3442077636719","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"436.3629621830005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","336","336","336","331.5094909667969","331.5094909667969","331.5094909667969","","","","","",""
"491.56001909098995","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176","176","176","455.8597412109375","455.8597412109375","455.8597412109375","","","","","","","","","","","",""
"498.2198431460056","","","","","","","","","","","","","","","","","","","","","","","","","394","394","394","257.2903747558594","257.2903747558594","257.2903747558594","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
